City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Fomboni,KM,-12.28,43.7425,77.74,68,1,17.94,clear sky
120,Roald,NO,62.5833,6.1333,66.16,88,75,8.05,broken clouds
121,Salalah,OM,17.0151,54.0924,84.29,89,100,6.91,overcast clouds
122,Santa Quiteria Do Maranhao,BR,-3.5156,-42.5467,90.09,46,21,4.88,few clouds
123,Cortez,US,37.3489,-108.5859,72.36,49,0,6.91,clear sky
124,Kodiak,US,57.79,-152.4072,56.71,67,0,5.75,clear sky
125,Lata,PT,40.1629,-8.3327,66.99,51,0,11.9,clear sky
126,Arkhangelskaya,RU,45.6796,40.2754,66.9,84,72,9.46,light rain
127,Antalaha,MG,-14.9003,50.2788,67.03,84,55,10.07,light rain
128,Luau,AO,-10.7073,22.2247,64.85,37,1,4.41,clear sky
129,Tasiilaq,GL,65.6145,-37.6368,48.36,70,92,2.64,overcast clouds
130,Avarua,CK,-21.2078,-159.775,77.05,83,40,21.85,scattered clouds
131,Barra Do Garcas,BR,-15.89,-52.2567,90.18,31,0,11.5,clear sky
132,Thompson,CA,55.7435,-97.8558,51.96,87,100,17.27,overcast clouds
133,Roebourne,AU,-20.7833,117.1333,65.93,38,0,16.37,clear sky
134,Xiaoshi,CN,41.2971,124.1209,71.01,99,100,4.05,overcast clouds
135,Ponferrada,ES,42.5466,-6.5962,75.27,39,16,7.0,few clouds
136,Souillac,MU,-20.5167,57.5167,71.98,78,40,12.66,light rain
137,Chirongui,YT,-12.9319,45.1483,78.73,71,43,7.7,scattered clouds
138,Ponta Do Sol,PT,32.6667,-17.1,72.12,50,60,5.61,broken clouds
139,Leningradskiy,RU,69.3833,178.4167,44.51,74,1,4.54,clear sky
140,Oksfjord,NO,70.2396,22.3479,80.67,53,67,6.35,broken clouds
141,Chengde,CN,40.9725,117.9361,65.23,88,91,3.24,overcast clouds
142,Tual,ID,-5.6667,132.75,79.84,80,100,14.7,overcast clouds
143,Khor,RU,47.8861,134.9464,57.67,93,99,6.11,overcast clouds
144,Fort Morgan,US,40.2503,-103.8,81.82,36,0,0.0,clear sky
145,Bethel,US,41.3712,-73.414,75.29,92,100,6.91,moderate rain
146,Ternate,ID,0.8,127.4,79.48,78,90,2.77,overcast clouds
147,Westport,US,41.1415,-73.3579,76.86,91,100,9.22,overcast clouds
148,Sorland,NO,67.667,12.6934,55.26,92,26,6.49,scattered clouds
149,Saint George,US,37.1041,-113.5841,96.8,23,0,3.0,clear sky
150,Namibe,AO,-15.1961,12.1522,67.51,71,1,7.07,clear sky
151,Port Shepstone,ZA,-30.7414,30.455,59.9,70,0,6.76,clear sky
152,Itambacuri,BR,-18.0311,-41.685,73.47,48,96,5.75,overcast clouds
153,Khudumelapye,BW,-23.8833,24.75,56.57,44,81,7.67,broken clouds
154,Ancud,CL,-41.8697,-73.8203,46.22,83,100,16.17,light rain
155,Fortuna,US,40.5982,-124.1573,59.92,100,75,0.0,broken clouds
156,Zhuhai,CN,22.2769,113.5678,85.86,89,20,8.05,few clouds
157,Manadhoo,MV,5.7667,73.3833,83.12,77,19,12.8,few clouds
158,Necochea,AR,-38.5473,-58.7368,58.21,53,0,16.91,clear sky
159,Porto Velho,BR,-8.7619,-63.9039,91.45,35,20,4.61,few clouds
160,Dryden,CA,49.7833,-92.7503,73.69,49,0,13.8,clear sky
161,Porto De Moz,BR,-1.7483,-52.2383,88.56,45,39,4.32,scattered clouds
162,Shieli,KZ,44.1667,66.75,86.79,26,2,8.1,clear sky
163,Hailar,CN,49.2,119.7,65.35,62,11,2.15,few clouds
164,Kharp,RU,66.8014,65.8081,46.74,85,100,12.19,light rain
165,Orzu,TJ,37.5593,68.8184,84.6,12,0,0.36,clear sky
166,Hithadhoo,MV,-0.6,73.0833,83.03,72,83,5.48,broken clouds
167,Cap-Aux-Meules,CA,47.3821,-61.8597,68.05,77,20,18.41,few clouds
168,Port Hardy,CA,50.6996,-127.4199,55.58,88,75,4.61,fog
169,Coquimbo,CL,-29.9533,-71.3436,56.93,76,75,4.61,light rain
170,Tiksi,RU,71.6872,128.8694,32.27,89,100,8.86,overcast clouds
171,Cavalcante,BR,-13.7975,-47.4583,83.01,23,1,7.92,clear sky
172,Lorengau,PG,-2.0226,147.2712,81.1,81,98,12.33,overcast clouds
173,Laguna,US,38.421,-121.4238,94.96,43,0,6.91,clear sky
174,Pangkalanbuun,ID,-2.6833,111.6167,73.94,99,91,1.9,overcast clouds
175,Kaeo,NZ,-35.1,173.7833,46.33,95,100,4.61,overcast clouds
176,San Patricio,US,28.017,-97.5169,96.08,31,35,7.52,scattered clouds
177,Clyde River,CA,70.4692,-68.5914,35.83,80,75,3.44,light snow
178,Vardo,NO,70.3705,31.1107,46.38,87,75,13.8,broken clouds
179,Chimore,BO,-16.9833,-65.1333,84.78,42,16,4.92,few clouds
180,Tromso,NO,69.6496,18.957,75.22,46,0,10.36,clear sky
181,Khatanga,RU,71.9667,102.5,46.13,56,5,5.93,clear sky
182,Broken Hill,AU,-31.95,141.4333,41.45,67,0,5.35,clear sky
183,Puerto Narino,CO,-3.7703,-70.3831,89.17,49,25,3.04,scattered clouds
184,Airai,TL,-8.9266,125.4092,57.38,90,99,3.8,overcast clouds
185,Cidreira,BR,-30.1811,-50.2056,63.52,77,100,9.1,overcast clouds
186,Rundu,NA,-17.9333,19.7667,58.53,38,5,6.93,clear sky
187,Lompoc,US,34.6391,-120.4579,92.01,79,0,16.11,clear sky
188,Sena Madureira,BR,-9.0656,-68.6569,92.88,33,24,2.15,few clouds
189,Diplo,PK,24.4667,69.584,87.55,69,32,16.08,scattered clouds
190,Bytow,PL,54.1706,17.4919,80.2,44,27,10.71,scattered clouds
191,Maues,BR,-3.3836,-57.7186,90.66,46,43,2.75,scattered clouds
192,Winnemucca,US,40.973,-117.7357,91.45,14,0,0.0,clear sky
193,Xining,CN,36.6167,101.7667,54.59,75,94,2.46,overcast clouds
194,Muros,ES,42.7762,-9.0603,72.16,56,56,14.58,broken clouds
195,Muhos,FI,64.808,25.9931,78.58,57,39,3.09,scattered clouds
196,Champerico,GT,14.3,-91.9167,82.51,69,16,5.32,few clouds
197,Bredasdorp,ZA,-34.5322,20.0403,56.21,59,2,3.65,clear sky
198,Tshikapa,CD,-6.4167,20.8,77.59,31,10,3.47,clear sky
199,Chihuahua,MX,28.5,-106.0,83.23,33,15,11.25,few clouds
200,Pevek,RU,69.7008,170.3133,35.44,78,10,6.55,clear sky
201,Hilo,US,19.7297,-155.09,78.28,88,75,1.01,broken clouds
202,Mendeleyevsk,RU,55.9082,52.2905,61.84,92,36,9.35,scattered clouds
203,Utete,TZ,-7.986,38.758,71.46,78,96,3.0,overcast clouds
204,Merauke,ID,-8.4667,140.3333,77.13,91,100,13.67,overcast clouds
205,Nemuro,JP,43.3236,145.575,52.86,98,93,4.09,overcast clouds
206,Chokurdakh,RU,70.6333,147.9167,46.18,47,100,5.37,overcast clouds
207,Tambau,BR,-21.705,-47.2744,77.67,36,13,4.74,few clouds
208,Ilulissat,GL,69.2167,-51.1,48.22,66,40,5.75,scattered clouds
209,Urucui,BR,-7.2294,-44.5561,95.4,23,0,7.83,clear sky
210,Nuuk,GL,64.1835,-51.7216,45.21,81,75,27.63,light rain
211,Pisco,PE,-13.7,-76.2167,67.01,72,28,8.05,smoke
212,Saldanha,ZA,-33.0117,17.9442,62.65,56,0,9.26,clear sky
213,Norman Wells,CA,65.282,-126.8329,69.84,40,75,11.5,broken clouds
214,Kirakira,SB,-10.4544,161.9205,78.62,88,100,9.86,overcast clouds
215,Boueni,YT,-12.9025,45.0761,78.78,70,31,6.58,scattered clouds
216,Ambilobe,MG,-13.2,49.05,68.22,66,18,6.53,few clouds
217,Basco,PH,20.4487,121.9702,84.51,74,84,18.95,broken clouds
218,Provideniya,RU,64.3833,-173.3,43.61,98,100,7.52,overcast clouds
219,Kavaratti,IN,10.5669,72.642,82.42,77,100,20.24,overcast clouds
220,Bogatyr,RU,53.4298,49.9455,70.29,60,40,8.95,moderate rain
221,Vieste,IT,41.8825,16.175,81.14,63,5,9.37,clear sky
222,Donetsk,UA,48.0,37.8,76.1,43,97,9.6,overcast clouds
223,Galeana,MX,24.8333,-100.0667,74.37,48,47,10.67,scattered clouds
224,Bedesa,ET,8.9,40.7833,63.52,81,100,6.06,light rain
225,Emerald,AU,-23.5333,148.1667,49.33,61,84,13.18,broken clouds
226,Mollendo,PE,-17.0231,-72.0147,66.94,72,51,13.02,broken clouds
227,Biltine,TD,14.5333,20.9167,97.81,20,39,6.13,scattered clouds
228,Rio Grande,BR,-32.035,-52.0986,57.31,83,100,4.85,moderate rain
229,Srandakan,ID,-7.9386,110.2506,74.88,83,79,5.93,broken clouds
230,Deep River,CA,46.1001,-77.4995,64.94,65,81,9.75,broken clouds
231,Talnakh,RU,69.4865,88.3972,62.74,51,44,7.11,scattered clouds
232,Cody,US,44.5263,-109.0565,82.65,33,0,9.22,clear sky
233,Atambua,ID,-9.1061,124.8925,70.86,83,99,5.7,overcast clouds
234,Fonte Boa,BR,-2.4959,-66.2662,86.61,58,20,2.71,few clouds
235,Sterling,US,39.0062,-77.4286,77.67,85,75,10.36,broken clouds
236,Bowen,AU,-20.0167,148.2333,62.94,69,50,14.92,scattered clouds
237,Birin,NP,26.8865,88.0718,64.18,91,98,2.48,overcast clouds
238,Chatra,IN,24.2167,84.8667,86.18,56,98,7.94,overcast clouds
239,Tabou,CI,4.423,-7.3528,78.96,79,82,8.14,broken clouds
240,Gyongyossolymos,HU,47.8172,19.9362,79.66,46,12,4.52,few clouds
241,Dondo,MZ,-19.6094,34.7431,71.11,86,50,8.3,scattered clouds
242,Cajamarca,PE,-7.1638,-78.5003,68.07,26,0,3.44,clear sky
243,Toumodi,CI,6.5613,-5.0158,77.09,92,78,4.79,moderate rain
244,Zhangye,CN,38.9342,100.4517,73.99,28,38,5.44,scattered clouds
245,Embonas,GR,36.2269,27.8564,75.33,70,0,14.85,clear sky
246,Sfantu Gheorghe,RO,45.8667,25.7833,66.27,73,95,2.89,overcast clouds
247,Iskateley,RU,67.6803,53.1512,38.91,75,91,17.25,overcast clouds
248,Yatou,CN,37.15,122.3833,72.88,97,100,19.26,light rain
249,Big Spring,US,32.2504,-101.4787,80.24,54,0,11.5,clear sky
250,Cabo San Lucas,MX,22.8909,-109.9124,88.9,69,0,11.5,clear sky
251,Upington,ZA,-28.4478,21.2561,53.98,50,0,6.91,clear sky
252,Inhambane,MZ,-23.865,35.3833,66.18,72,40,8.05,scattered clouds
253,Kieta,PG,-6.2167,155.6333,77.58,85,85,1.99,overcast clouds
254,Caravelas,BR,-17.7125,-39.2481,74.03,52,68,13.33,broken clouds
255,Malangwa,NP,26.8568,85.5581,82.18,79,100,6.15,overcast clouds
256,Alofi,NU,-19.0595,-169.9187,73.29,94,88,2.3,overcast clouds
257,Sept-Iles,CA,50.2001,-66.3821,61.32,95,100,9.22,heavy intensity rain
258,Palu,ID,-0.8917,119.8707,75.99,97,79,2.3,broken clouds
259,Teknaf,BD,20.8624,92.3058,80.29,88,98,6.29,overcast clouds
260,Durban,ZA,-29.8579,31.0292,62.02,81,0,3.0,clear sky
261,Edgewater,US,28.9889,-80.9023,94.28,63,94,8.43,overcast clouds
262,Katsuura,JP,35.1333,140.3,74.05,95,54,10.09,broken clouds
263,Bairiki,KI,1.3292,172.9752,80.6,83,40,4.61,scattered clouds
