City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
338,Samarai,PG,80.91,overcast clouds,-10.6167,150.6667,Nuli Sapi
339,Auki,SB,77.18,light rain,-8.7676,160.7034,Auki Motel
341,Barcelona,ES,86.18,few clouds,41.3888,2.159,Axel Hotel Barcelona
342,Turek,PL,88.61,clear sky,52.0155,18.5005,Polbau GmbH Sp. z o.o.
344,Asau,RO,81.52,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
345,Katsuura,JP,75.65,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
351,Itacoatiara,BR,78.24,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
353,Sri Aman,MY,82.45,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
355,Meulaboh,ID,78.13,broken clouds,4.1363,96.1285,Kost Pria
356,Dayong,CN,79.02,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
360,Eydhafushi,MV,83.35,broken clouds,5.1033,73.0708,Soneva Fushi
362,Xuddur,SO,84.81,broken clouds,4.1213,43.8894,Banjanay Hotel
365,Fuzhou,CN,82.29,overcast clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
366,Barahona,DO,79.59,scattered clouds,18.2085,-71.1008,Hotel Caribe
367,Kaspiyskiy,RU,84.72,few clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
368,Itarema,BR,81.14,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
370,Picui,BR,77.59,clear sky,-6.5106,-36.3469,Pousada Seridó Gold
371,Mayumba,GA,75.49,overcast clouds,-3.432,10.6554,LIKWALE LODGE
376,Angoche,MZ,76.46,light rain,-16.2325,39.9086,Guest House HESADA
377,Kokopo,PG,77.27,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
378,Thinadhoo,MV,83.23,broken clouds,0.5333,72.9333,
380,Sao Felix Do Xingu,BR,76.1,few clouds,-6.6447,-51.995,Rio Xingu Camping
381,Kuantan,MY,86.11,few clouds,3.8077,103.326,Hotel Sentral Kuantan
384,Kui Buri,TH,81.37,broken clouds,12.0828,99.8543,Rista House & Resort
387,Tsaratanana,MG,77.7,clear sky,-16.7833,47.65,
392,Yablonovo,RU,77.52,clear sky,50.8523,37.3574,
397,Dicabisagan,PH,78.4,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
399,Mogadishu,SO,84.07,scattered clouds,2.0371,45.3438,Hotel Juba
401,Houma,US,75.99,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
403,Touros,BR,79.86,clear sky,-5.1989,-35.4608,INN NEW HORIZON
405,Dumai,ID,77.4,overcast clouds,1.6833,101.45,Grand Zuri Dumai
409,Kavaratti,IN,82.8,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
413,Manzanillo,CU,77.52,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
416,Namie,JP,77.72,broken clouds,37.4833,141.0,いこいの村なみえ
419,Indramayu,ID,80.76,few clouds,-6.3264,108.32,Grand Trisula Hotel
421,Casablanca,MA,77.02,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
427,Tanggu,CN,82.36,broken clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
428,Baiyin,CN,79.05,scattered clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
429,Malatya,TR,77.05,scattered clouds,38.5,38.0,
432,Monrovia,LR,85.77,broken clouds,6.3005,-10.7969,Sunset Inn
433,Tchollire,CM,80.51,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
437,Piacabucu,BR,78.33,broken clouds,-10.4056,-36.4344,Piaçabuçu News
445,Taketa,JP,78.78,overcast clouds,32.9652,131.3785,Cue Hostel
451,Markdorf,DE,77.79,broken clouds,47.7167,9.4,Hotel Wirthshof in Markdorf beim Bodensee
460,Panzhihua,CN,75.42,overcast clouds,26.5851,101.7128,Electric Power Hotel
462,Boghesti,RO,82.4,broken clouds,46.1667,27.4,
464,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
469,Mandera,KE,89.06,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
472,Tromso,NO,75.22,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
473,Faya,SA,89.71,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
474,Bodden Town,KY,80.92,few clouds,19.2833,-81.25,Will T Place
477,Celestun,MX,76.48,broken clouds,20.8667,-90.4,Posada Lilia
480,Sarangani,PH,83.73,scattered clouds,5.4033,125.4636,JVL Inn and Cafeteria
482,Ewa Beach,US,75.43,clear sky,21.3156,-158.0072,Base Lodging
488,Liberia,LR,85.57,light rain,6.5,-9.5,
489,Marsabit,KE,77.63,few clouds,2.3284,37.9899,Chicho Hotel
492,Kailua,US,75.49,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
493,Boa Vista,BR,75.18,light intensity shower rain,2.8197,-60.6733,Aipana Plaza Hotel
494,Hobyo,SO,85.93,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
495,Lata,PT,76.5,clear sky,40.1629,-8.3327,Casa Maquia
499,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
505,Dickinson,US,82.94,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
508,Kostyantynivka,UA,84.87,scattered clouds,48.5277,37.7069,Мотель
509,Gushikawa,JP,89.6,few clouds,26.3544,127.8686,Kirari Guest House
513,Lasa,IT,82.69,clear sky,46.6166,10.7002,Pension Feldgärtenhof
514,Sakaraha,MG,75.02,clear sky,-22.9,44.5333,Le Relais
516,Shingu,JP,75.54,clear sky,33.7333,135.9833,Shingu UI Hotel
517,Kieta,PG,79.16,light rain,-6.2167,155.6333,Uruna Bay Retreat
523,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
525,Brzeziny,PL,89.08,few clouds,51.8002,19.7514,"Hotel nad Mrogą, Restauracja Cztery Pory Roku"
526,San Onofre,CO,75.96,overcast clouds,9.7359,-75.5263,Hotel Sinai
530,Kainan,JP,78.84,scattered clouds,34.15,135.2,Wakayama Marina City Hotel
537,Pemangkat,ID,82.33,overcast clouds,1.1667,108.9667,Ramah Kost KITA
539,Jurm,AF,89.8,clear sky,36.8648,70.8342,
541,Aginskoye,RU,75.06,clear sky,51.1,114.53,Кочевник
542,Nabire,ID,76.37,light rain,-3.3667,135.4833,Hotel Nusantara I
546,Tecoanapa,MX,76.93,overcast clouds,16.5167,-98.75,Hotel Manglares
549,Quatre Cocos,MU,77.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
553,Sai Buri,TH,80.38,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
554,Taperoa,BR,76.32,scattered clouds,-7.2075,-36.8267,Hotel Casarão Antigo
555,Hurricane,US,75.67,few clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
558,Shimoda,JP,79.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
559,Yining,CN,81.23,overcast clouds,29.0361,114.5636,Xiushui Hotel
561,Kajaani,FI,78.85,clear sky,64.2273,27.7285,Original Sokos Hotel Valjus
564,Ambulu,ID,76.05,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
565,Ha Tinh,VN,88.3,few clouds,18.3333,105.9,Phú Quý
568,Ust-Ilimsk,RU,75.42,broken clouds,58.0006,102.6619,AleNat Center
572,Aquiraz,BR,85.44,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
580,Libreville,GA,80.62,few clouds,0.3925,9.4537,Le Méridien Re-Ndama
581,Antalaha,MG,75.78,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
583,Coahuayana,MX,75.34,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
588,Sembakung,ID,77.49,overcast clouds,3.8167,117.25,
592,Tiznit,MA,77.61,clear sky,29.5833,-9.5,
595,Northport,US,75.13,overcast clouds,33.229,-87.5772,Hotel Capstone
598,Yumen,CN,88.63,broken clouds,40.2833,97.2,
599,Lubao,PH,82.47,light rain,14.9167,120.55,Hacienda Gracia
600,Santa Rosalia,MX,78.19,scattered clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
601,Tateyama,JP,79.11,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
612,Kanlagay,PH,81.21,light rain,5.8757,121.2915,
619,Voi,KE,81.84,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
620,Batangafo,CF,89.19,broken clouds,7.3008,18.2833,OCHA Office
622,Bazarnyy Syzgan,RU,77.05,clear sky,53.7512,46.7535,"Gostevoy Dom ""Yozhik"""
623,Ludvika,SE,84.33,scattered clouds,60.1496,15.1878,Ludvika Stadshotell
630,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
631,Alyangula,AU,75.24,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
632,Faranah,GN,87.28,scattered clouds,10.0404,-10.7434,Chez mon oncle
633,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
640,Gilbues,BR,75.87,clear sky,-9.8317,-45.3439,Hotel Camapuã
643,Pemba,MZ,81.3,few clouds,-12.974,40.5178,Guesthouse Samotina
644,Tarakan,ID,81.9,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
647,Tubuala,PA,77.54,broken clouds,9.5167,-79.0333,
648,Miracema Do Tocantins,BR,80.78,clear sky,-9.5618,-48.3967,Miami Apart Hotel
649,Muli,MV,83.77,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
651,Kollam,IN,80.8,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
653,Soller,ES,88.86,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
654,Bardiyah,LY,83.55,clear sky,31.7561,25.0865,بورتو بردية
655,Nobeoka,JP,78.75,overcast clouds,32.5833,131.6667,En City Hotel Nobeoka
661,Kiruna,SE,76.12,broken clouds,67.8557,20.2251,Camp Ripan
666,Paratinga,BR,75.18,clear sky,-12.6906,-43.1842,Pousada Magalhães 2
668,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
672,Labuhan,ID,78.49,broken clouds,-6.8844,112.2051,DoubleFAG
675,Kuytun,RU,80.91,broken clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
677,Pokhara,NP,78.03,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
678,Hanyang,CN,77.81,broken clouds,32.1371,105.5126,Forestry Hostel
684,Kizhinga,RU,79.68,clear sky,51.8462,109.9097,Viktoriya
685,Mtambile,TZ,77.0,light rain,-5.3833,39.7,
688,Lekoni,GA,88.66,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
689,Kulhudhuffushi,MV,83.08,broken clouds,6.6221,73.07,Haajy Guest House 1
690,Palu,ID,77.23,broken clouds,-0.8917,119.8707,Hotel Santika Palu
691,Lamu,KE,82.62,scattered clouds,-2.2717,40.902,Lamu House
695,Tura,IN,78.33,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
696,Shubarkuduk,KZ,75.99,clear sky,49.1447,56.4872,Sirius
698,Acajutla,SV,75.43,broken clouds,13.5928,-89.8275,Laureles
700,Namatanai,PG,79.77,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
704,Gizo,SB,81.5,overcast clouds,-8.103,156.8419,Imagination Island
705,Hanzhong,CN,83.68,scattered clouds,33.0728,107.0303,Guorui Hotel
708,Riachao,BR,80.29,clear sky,-7.3619,-46.6172,Pousada Nordestina
712,Imperial,US,85.44,clear sky,33.0334,-115.4175,
